Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.2201496718606113,0.2812775835454991,0.4448409018365094,0.817099086683014
Throughput(Mbps),dos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.4448409018365094,0.817099086683014
Throughput(Mbps),ddos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.4448409018365094,0.817099086683014
Throughput(Mbps),mitm,0.2242105728066907,0.1899516459030111,0.2584694997103703,0.4448409018365094,0.817099086683014
Throughput(Mbps),blackhole,0.2504343137055238,0.2207897852306537,0.2800788421803939,0.4448409018365094,0.817099086683014
Throughput(Mbps),mqtt,0.2507136277030552,0.2201496718606113,0.2812775835454991,0.4448409018365094,0.817099086683014
EndToEndDelay(ms),normal,0.0024455663002747536,0.002007126636036094,0.002884005964513413,0.001985911660802442,7.912436608364309e-05
EndToEndDelay(ms),dos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,0.001985911660802442,7.912436608364309e-05
EndToEndDelay(ms),ddos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,0.001985911660802442,7.912436608364309e-05
EndToEndDelay(ms),mitm,0.0018567191454093687,0.001469495398626805,0.0022439428921919324,0.001985911660802442,7.912436608364309e-05
EndToEndDelay(ms),blackhole,0.002288787767660566,0.00204052456116242,0.0025370509741587124,0.001985911660802442,7.912436608364309e-05
EndToEndDelay(ms),mqtt,0.0024455663002747536,0.002007126636036094,0.002884005964513413,0.001985911660802442,7.912436608364309e-05
Jitter(ms),normal,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,0.004762803730599222,2.876166608808e-07
Jitter(ms),dos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,0.004762803730599222,2.876166608808e-07
Jitter(ms),ddos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,0.004762803730599222,2.876166608808e-07
Jitter(ms),mitm,0.0006191572289738677,0.0005176549782534587,0.0007206594796942767,0.004762803730599222,2.876166608808e-07
Jitter(ms),blackhole,0.0008878726933054085,0.0007837658195365531,0.000991979567074264,0.004762803730599222,2.876166608808e-07
Jitter(ms),mqtt,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,0.004762803730599222,2.876166608808e-07
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259675,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),dos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),ddos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),mitm,11.364406779661016,4.761760323633803,17.967053235688233,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),blackhole,1.6006061452857163,1.3207179068427726,1.8804943837286603,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),mqtt,0.8217928145468011,0.5678079332676345,1.0757776958259675,9.041362641788414,2.9042810171173186e-08
