Metric,group1,group2,meandiff,p-adj,lower,upper,reject
Throughput_Mbps,BH,DDoS,0.0,1.0,-0.0511,0.0511,False
Throughput_Mbps,BH,DoS,0.1445,0.0,0.0933,0.1956,True
Throughput_Mbps,BH,MITM,-0.0933,0.0,-0.1445,-0.0422,True
Throughput_Mbps,BH,NORMAL,0.0,1.0,-0.0511,0.0511,False
Throughput_Mbps,DDoS,DoS,0.1445,0.0,0.0933,0.1956,True
Throughput_Mbps,DDoS,MITM,-0.0933,0.0,-0.1445,-0.0422,True
Throughput_Mbps,DDoS,NORMAL,0.0,1.0,-0.0511,0.0511,False
Throughput_Mbps,DoS,MITM,-0.2378,0.0,-0.289,-0.1867,True
Throughput_Mbps,DoS,NORMAL,-0.1445,0.0,-0.1956,-0.0933,True
Throughput_Mbps,MITM,NORMAL,0.0933,0.0,0.0422,0.1445,True
End-to-End_Delay_s,BH,DDoS,-0.0001,1.0,-0.5297,0.5296,False
End-to-End_Delay_s,BH,DoS,0.0009,1.0,-0.5288,0.5306,False
End-to-End_Delay_s,BH,MITM,1.8327,0.0,1.303,2.3624,True
End-to-End_Delay_s,BH,NORMAL,-0.0,1.0,-0.5297,0.5296,False
End-to-End_Delay_s,DDoS,DoS,0.001,1.0,-0.5287,0.5306,False
End-to-End_Delay_s,DDoS,MITM,1.8328,0.0,1.3031,2.3625,True
End-to-End_Delay_s,DDoS,NORMAL,0.0,1.0,-0.5297,0.5297,False
End-to-End_Delay_s,DoS,MITM,1.8318,0.0,1.3021,2.3615,True
End-to-End_Delay_s,DoS,NORMAL,-0.001,1.0,-0.5306,0.5287,False
End-to-End_Delay_s,MITM,NORMAL,-1.8328,0.0,-2.3625,-1.3031,True
Jitter_s,BH,DDoS,0.0,1.0,-0.0001,0.0001,False
Jitter_s,BH,DoS,0.0002,0.0,0.0001,0.0002,True
Jitter_s,BH,MITM,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,BH,NORMAL,-0.0001,0.0089,-0.0002,-0.0,True
Jitter_s,DDoS,DoS,0.0002,0.0,0.0001,0.0002,True
Jitter_s,DDoS,MITM,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,DDoS,NORMAL,-0.0001,0.0089,-0.0002,-0.0,True
Jitter_s,DoS,MITM,-0.0004,0.0,-0.0005,-0.0004,True
Jitter_s,DoS,NORMAL,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,MITM,NORMAL,0.0002,0.0,0.0001,0.0003,True
Packet_Loss_%,BH,DDoS,0.0,1.0,-4.9699,4.9699,False
Packet_Loss_%,BH,DoS,0.862,0.9897,-4.1079,5.8319,False
Packet_Loss_%,BH,MITM,27.1587,0.0,22.1888,32.1286,True
Packet_Loss_%,BH,NORMAL,0.0,1.0,-4.9699,4.9699,False
Packet_Loss_%,DDoS,DoS,0.862,0.9897,-4.1079,5.8319,False
Packet_Loss_%,DDoS,MITM,27.1587,0.0,22.1888,32.1286,True
Packet_Loss_%,DDoS,NORMAL,0.0,1.0,-4.9699,4.9699,False
Packet_Loss_%,DoS,MITM,26.2967,0.0,21.3268,31.2666,True
Packet_Loss_%,DoS,NORMAL,-0.862,0.9897,-5.8319,4.1079,False
Packet_Loss_%,MITM,NORMAL,-27.1587,0.0,-32.1286,-22.1888,True
