group1,group2,meandiff,p-adj,lower,upper,reject
blackhole,ddos,983612.8,0.9986,-5936745.936,7903971.536,False
blackhole,dos,14589196.8,0.0,7668838.064,21509555.536,True
blackhole,mitm,-3693094.72,0.6478,-10613453.456,3227264.016,False
blackhole,mqtt,833981.76,0.9994,-6086376.976,7754340.496,False
blackhole,normal,984499.2,0.9986,-5935859.536,7904857.936,False
ddos,dos,13605584.0,0.0,6685225.264,20525942.736,True
ddos,mitm,-4676707.52,0.3835,-11597066.256,2243651.216,False
ddos,mqtt,-149631.04,1.0,-7069989.776,6770727.696,False
ddos,normal,886.4,1.0,-6919472.336,6921245.136,False
dos,mitm,-18282291.52,0.0,-25202650.256,-11361932.784,True
dos,mqtt,-13755215.04,0.0,-20675573.776,-6834856.304,True
dos,normal,-13604697.6,0.0,-20525056.336,-6684338.864,True
mitm,mqtt,4527076.48,0.4216,-2393282.256,11447435.216,False
mitm,normal,4677593.92,0.3833,-2242764.816,11597952.656,False
mqtt,normal,150517.44,1.0,-6769841.296,7070876.176,False
